ID No Prog Code YoG CGPA CGPA100 CGPA400
76642 BCH 2013 3.87 3.98 4.28
25569 BCH 2013 3.19 3.27 3.38
30867 BCH 2013 4.25 4.13 4.18
61462 BCH 2013 3.83 3.73 4.07
31615 BCH 2013 3.36 3.38 3.39
35331 BCH 2014 3.47 3.46 3.32
70546 BCH 2014 3.46 2.83 3.66
83356 BCH 2014 3.64 3.98 3.76
89894 BCH 2014 4.91 4.75 4.98
63387 BCH 2014 3.02 2.73 3.34
95377 BCH 2014 4.63 4.46 4.64
67162 BCH 2014 4.20 3.77 4.51
57610 BCH 2014 4.06 3.00 4.71
29869 BCH 2014 3.70 3.69 4.06
55505 BCH 2014 3.62 3.85 3.58
54816 BCH 2014 4.24 4.33 4.24
69822 BCH 2014 3.07 2.96 3.02
29696 BCH 2014 3.72 3.58 3.83
96250 BCH 2014 4.11 3.96 4.09
62285 BCH 2014 4.38 3.98 4.80
92589 BCH 2014 3.03 3.31 3.25
97014 BCH 2014 3.26 3.50 3.27
29835 BCH 2014 4.33 3.69 4.73
56265 MCB 2010 4.13 4.35 4.35
32236 MCB 2010 2.92 3.10 3.20
95984 MCB 2010 3.17 2.71 3.56
24519 MCB 2010 3.98 3.58 4.27
29994 MCB 2010 3.96 3.90 4.23
64063 MCB 2010 4.26 4.17 4.46
83948 MCB 2010 3.85 3.67 4.00
33118 MCB 2010 3.19 3.02 3.28
94989 MCB 2011 3.78 3.57 4.19
27993 MCB 2011 3.12 3.20 3.49
55933 MCB 2011 4.70 4.70 4.80
54319 MCB 2011 3.14 3.26 3.41
37769 MCB 2011 2.29 2.53 2.29
65790 MCB 2011 2.61 2.59 3.29
38329 MCB 2011 2.53 2.54 2.69
67765 MCB 2011 3.61 3.70 3.57
85500 MCB 2011 2.56 3.15 2.54
72755 MCB 2011 2.50 2.67 2.69
54660 MCB 2011 3.39 3.67 3.39
78198 MCB 2011 2.93 3.04 3.48
50420 MCB 2011 2.60 2.98 2.59
71972 MCB 2011 3.74 3.26 4.44
45568 MCB 2011 3.87 3.61 4.27
41438 MCB 2012 2.29 2.46 2.24
76075 MCB 2014 2.32 2.61 2.67
78063 MCB 2011 4.25 4.07 4.29
86041 MCB 2011 2.28 2.35 2.46
25836 MCB 2011 3.00 2.65 3.29
75888 MCB 2011 3.64 3.20 3.77
42113 MCB 2011 4.22 3.89 4.49
87505 MCB 2011 3.54 3.41 3.61
41255 MCB 2011 3.16 3.30 3.80
38409 MCB 2011 3.93 3.70 4.15
64152 MCB 2011 4.25 3.89 4.46
90420 MCB 2011 4.50 4.39 4.76
60775 MCB 2011 2.92 3.04 3.31
37039 MCB 2011 3.46 3.26 3.98
91230 MCB 2011 4.25 3.48 4.76
39114 MCB 2011 3.98 3.26 4.53
62205 MCB 2011 3.47 3.15 4.39
71910 MCB 2011 4.55 4.43 4.56
82394 MCB 2012 2.18 2.26 2.01
54606 MCB 2011 3.83 3.54 4.41
74973 MCB 2011 3.66 3.33 4.24
28749 MCB 2011 4.09 3.50 4.56
29406 MCB 2011 3.28 3.41 3.30
50336 MCB 2011 3.81 3.46 4.25
34627 MCB 2011 3.41 3.09 3.69
65917 MCB 2011 4.55 4.35 4.41
70068 MCB 2011 2.50 3.02 2.30
55791 MCB 2011 3.89 3.30 4.39
77762 MCB 2011 4.04 3.96 3.98
79850 MCB 2011 3.68 3.63 4.15
46988 MCB 2012 4.63 4.18 4.96
38648 MCB 2012 3.84 3.63 4.18
84765 MCB 2014 1.96 1.71 2.72
56919 MCB 2012 3.69 3.20 4.14
64979 MCB 2012 2.78 2.90 3.00
68153 MCB 2012 2.80 3.33 2.62
29904 MCB 2012 4.06 3.71 4.60
88770 MCB 2012 4.29 3.96 4.51
33831 MCB 2012 3.01 2.69 3.12
70995 MCB 2012 3.02 2.80 2.85
79294 MCB 2012 3.85 3.55 4.17
75612 MCB 2012 3.53 3.71 3.83
71023 MCB 2012 3.50 3.22 4.23
95084 MCB 2012 4.50 4.31 4.74
70709 MCB 2012 3.07 2.90 3.09
76227 MCB 2013 2.12 1.69 2.24
28270 MCB 2012 3.45 2.59 3.88
91438 MCB 2012 3.17 2.69 3.43
34666 MCB 2012 3.12 3.45 3.50
62254 MCB 2013 2.83 2.27 2.85
63687 MCB 2012 2.51 2.59 2.40
61676 MCB 2012 4.14 3.45 4.23
58690 MCB 2012 4.41 4.35 4.77
29337 MCB 2012 2.52 2.41 3.00
64657 MCB 2012 4.52 4.37 4.54
86769 MCB 2012 3.89 3.57 4.15
51863 MCB 2012 2.48 2.00 2.93
81642 MCB 2014 1.79 1.65 1.87
48363 MCB 2012 3.70 3.14 3.86
52884 MCB 2012 4.01 3.55 3.86
30373 MCB 2012 4.16 4.20 3.97
39768 MCB 2013 2.07 3.04 1.58
67454 MCB 2012 2.52 2.45 2.52
55958 MCB 2012 4.03 3.78 4.10
84612 MCB 2012 3.61 3.18 3.69
65308 MCB 2012 3.35 3.31 3.02
84684 MCB 2012 3.98 3.31 4.17
87463 MCB 2012 2.34 2.69 2.49
64777 MCB 2013 2.19 2.49 2.00
69247 MCB 2012 3.61 3.37 3.74
24100 MCB 2012 3.30 2.94 3.67
55026 MCB 2012 3.79 3.55 4.32
33743 MCB 2012 4.26 4.06 4.38
65869 MCB 2012 3.89 3.59 4.30
56611 MCB 2012 4.46 4.04 4.85
95820 MCB 2012 4.54 4.22 4.76
61373 MCB 2013 4.27 4.04 4.49
54104 MCB 2014 2.19 2.23 2.32
35893 MCB 2013 3.98 3.96 4.27
35370 MCB 2013 2.59 2.58 3.13
78033 MCB 2013 4.05 3.77 4.72
55766 MCB 2013 2.74 2.77 3.68
61204 MCB 2013 4.14 3.83 4.68
68727 MCB 2013 3.44 3.29 3.90
30681 MCB 2013 3.09 3.35 3.68
61527 MCB 2013 4.45 4.42 4.87
75468 MCB 2013 2.42 2.21 2.88
63093 MCB 2013 2.45 2.56 2.86
91670 MCB 2013 2.85 2.73 3.41
94773 MCB 2013 3.86 3.79 4.23
91114 MCB 2013 2.34 2.02 2.91
47396 MCB 2013 3.80 3.88 4.61
63328 MCB 2013 2.47 2.65 3.04
91867 MCB 2013 3.93 3.96 4.50
65260 MCB 2013 4.24 4.23 4.76
74172 MCB 2013 3.27 3.46 3.76
26234 MCB 2013 3.88 4.08 4.46
85544 MCB 2013 2.69 2.88 3.16
94288 MCB 2013 3.61 2.88 4.40
39347 MCB 2013 2.71 3.08 3.02
73044 MCB 2013 3.39 3.38 4.05
25695 MCB 2013 3.06 3.15 3.70
36723 MCB 2013 2.96 3.17 3.66
80074 MCB 2013 4.22 4.06 4.77
83435 MCB 2013 4.28 4.29 4.64
88837 MCB 2014 2.38 2.50 2.58
74936 MCB 2013 4.22 4.08 4.69
62245 MCB 2013 3.71 3.77 4.50
54900 MCB 2013 3.80 3.60 4.62
78766 MCB 2013 2.93 3.54 3.21
69507 MCB 2013 2.72 2.08 3.44
76957 MCB 2013 4.37 4.19 4.95
27975 MCB 2013 4.35 3.96 4.82
54885 MCB 2013 4.04 4.08 4.59
88597 MCB 2013 2.60 2.67 3.09
86251 MCB 2013 3.43 3.15 4.38
51979 MCB 2013 3.94 4.00 4.37
76661 MCB 2013 3.98 3.75 4.46
84087 MCB 2013 3.28 3.25 3.73
24795 MCB 2013 3.15 3.19 3.68
59574 MCB 2014 3.88 3.31 4.44
80796 MCB 2014 3.28 3.52 3.04
46255 MCB 2014 3.88 3.52 4.50
51788 MCB 2014 3.72 3.44 4.20
38612 MCB 2014 4.18 3.81 4.62
60854 MCB 2014 3.65 3.60 3.88
83154 MCB 2014 2.92 3.42 2.95
27184 MCB 2014 3.76 2.98 4.38
72640 MCB 2014 4.12 3.81 4.49
31546 MCB 2014 4.14 4.06 4.33
95632 MCB 2014 4.40 4.17 4.77
52510 MCB 2014 3.33 3.40 3.57
65844 MCB 2014 3.31 3.40 3.72
82841 MCB 2014 3.99 3.85 4.28
53365 MCB 2014 4.30 3.98 4.54
65341 MCB 2014 4.41 3.90 4.87
32999 MCB 2014 3.23 2.96 3.65
59543 MCB 2014 3.59 3.19 3.69
76199 MCB 2014 4.11 3.58 4.79
39626 MCB 2014 3.90 3.77 4.31
59658 MCB 2014 3.76 3.54 3.77
27508 BLD 2010 3.25 2.31 3.70
61787 BLD 2011 1.81 2.16 1.89
62223 BLD 2010 2.61 2.60 2.27
94484 BLD 2010 3.77 3.60 3.81
34541 BLD 2010 3.42 2.89 3.44
75696 BLD 2011 3.45 3.28 3.03
60639 BLD 2013 2.28 2.16 2.45
48560 BLD 2010 4.01 3.21 4.22
33258 BLD 2010 4.36 3.81 4.41
77091 BLD 2010 3.00 3.00 3.07
67598 BLD 2011 2.47 2.28 2.90
62501 BLD 2010 2.57 2.52 2.29
42866 BLD 2011 1.81 2.72 1.88
75895 BLD 2011 2.32 2.84 2.19
26729 BLD 2011 4.06 3.75 4.29
44951 BLD 2011 3.23 3.18 3.03
96200 BLD 2011 3.50 3.20 4.29
38251 BLD 2011 2.72 2.84 3.47
48313 BLD 2011 3.57 3.12 4.08
71345 BLD 2014 2.09 2.61 1.39
86279 BLD 2013 2.97 2.12 2.91
59853 BLD 2012 3.87 3.45 3.79
54772 BLD 2012 4.02 3.20 4.36
58858 BLD 2012 3.88 3.06 4.21
75874 BLD 2012 3.68 3.86 2.93
29158 BLD 2012 4.03 3.76 3.54
45418 BLD 2012 3.12 2.73 3.36
65600 BLD 2012 3.62 2.90 4.07
54655 BLD 2012 3.01 3.06 2.81
45608 BLD 2012 3.96 3.35 4.00
77830 BLD 2012 3.00 2.62 2.88
52567 BLD 2012 2.83 2.02 2.90
23836 BLD 2012 4.16 3.51 4.42
87589 BLD 2012 4.42 4.16 4.39
39972 BLD 2012 2.94 2.94 2.82
85197 BLD 2012 3.58 2.75 3.48
47498 BLD 2012 3.55 3.16 3.65
25498 BLD 2012 2.92 2.27 2.91
53366 BLD 2012 3.51 2.70 3.46
31719 BLD 2012 3.60 3.51 3.58
73842 BLD 2013 2.33 2.87 2.67
87291 BLD 2013 4.28 4.04 4.31
45055 BLD 2013 3.35 3.04 3.54
61691 BLD 2013 3.11 3.02 3.19
25071 BLD 2013 4.12 3.37 4.65
36390 BLD 2013 3.89 3.83 4.04
68780 BLD 2013 3.02 3.07 3.04
92944 BLD 2013 2.89 2.80 2.89
85612 BLD 2014 2.45 2.59 2.25
64852 BLD 2013 4.67 4.43 4.77
67697 BLD 2013 3.48 3.78 3.31
43997 BLD 2013 3.75 3.85 3.50
28292 BLD 2013 2.74 3.39 2.63
44748 BLD 2013 4.06 3.61 4.19
46689 BLD 2013 4.64 4.09 4.69
68558 BLD 2014 2.21 1.98 2.00
64091 BLD 2013 2.51 2.37 2.06
81144 BLD 2014 2.41 2.46 1.97
52712 BLD 2013 2.74 2.61 2.76
89608 BLD 2013 3.11 2.83 3.50
78324 BLD 2013 3.46 3.04 3.65
57590 BLD 2013 2.90 2.61 2.81
24145 BLD 2013 3.09 2.74 3.14
91103 BLD 2013 3.05 2.76 3.15
29037 BLD 2013 3.32 3.28 3.31
28870 BLD 2013 3.71 2.51 4.31
87187 BLD 2013 2.67 2.76 2.67
42905 BLD 2013 3.60 3.41 3.65
56707 BLD 2013 3.61 3.50 3.23
38744 BLD 2013 2.94 3.24 2.67
38336 BLD 2013 3.97 3.78 3.89
80284 BLD 2013 3.27 2.78 3.36
36861 BLD 2013 2.63 2.72 1.97
95391 BLD 2014 3.17 2.63 3.58
87068 BLD 2014 4.06 3.50 4.31
47452 BLD 2014 4.56 4.37 4.54
24731 BLD 2014 3.08 2.50 3.06
52363 BLD 2014 3.65 3.02 4.08
64443 BLD 2014 3.62 3.33 3.46
23963 BLD 2014 3.67 3.17 3.43
26522 BLD 2014 3.59 2.83 4.19
72095 BLD 2014 2.97 2.87 2.32
51295 BLD 2014 3.88 3.26 3.50
57350 BLD 2014 4.08 3.48 4.07
86144 BLD 2014 3.70 3.87 3.39
30905 BLD 2014 3.27 2.50 3.50
92264 BLD 2014 3.66 3.24 4.00
52238 BLD 2014 4.24 3.65 4.46
81239 BLD 2014 2.95 3.30 2.55
68527 BLD 2014 3.78 3.28 3.54
28240 BLD 2014 4.25 3.00 4.50
30613 BLD 2014 3.69 3.33 3.92
80308 BLD 2014 3.79 2.74 4.31
73565 BLD 2014 2.71 2.17 3.19
70272 BLD 2014 3.33 2.87 3.11
42884 BLD 2014 2.80 2.48 3.13
29117 BLD 2011 1.92 2.03 1.81
71436 CHE 2010 1.94 2.80 1.77
62283 CHE 2010 2.60 2.49 2.80
24813 CHE 2012 2.33 2.09 1.70
69305 CHE 2010 2.11 1.95 2.06
45159 CHE 2010 2.16 2.49 1.97
62120 CHE 2010 2.37 2.33 3.06
91549 CHE 2010 3.62 4.60 2.15
28091 CHE 2012 1.98 2.14 2.03
64433 CHE 2010 3.63 3.27 4.03
68265 CHE 2010 3.49 3.53 3.25
54059 CHE 2010 3.43 3.78 3.22
61605 CHE 2010 4.07 4.11 3.69
55705 CHE 2010 4.52 4.43 4.59
49427 CHE 2010 2.72 2.62 2.19
49393 CHE 2010 4.13 4.80 3.56
87357 CHE 2010 2.90 2.44 3.34
42401 CHE 2010 4.43 4.44 4.53
95356 CHE 2010 3.76 3.48 4.06
89502 CHE 2010 4.64 4.44 4.63
